Name,Value,Byte Offset,Type
cb1_v0,"1.00, 0.00, 0.00, 0.00",0,float4
cb1_v1,"0.00, 1.00, 0.00, 0.00",16,float4
cb1_v2,"0.00, 0.00, 1.00, 0.00",32,float4
cb1_v3,"-110.00, 90.00, -60.00, 1.00",48,float4
cb1_v4,"1.00, 1.00, 1.00, 1.00",64,float4
cb1_v5,"-115.50623, 88.9565, 80.19588, 26583.52539",80,float4
cb1_v6,"1.00, 0.00, 0.00, 0.00",96,float4
cb1_v7,"0.00, 1.00, 0.00, 0.00",112,float4
cb1_v8,"0.00, 0.00, 1.00, 0.00",128,float4
cb1_v9,"110.00, -90.00, 60.00, 1.00",144,float4
cb1_v10,"-110.00, 90.00, -60.00, 0.00",160,float4
cb1_v11,"15400.13672, 13358.72363, 17060.60156, 1.00",176,float4
