Name,Value,Byte Offset,Type
cb0_v0,"0.00, 1.34778, 0.00, 0.96118",0,float4
cb0_v1,"2.74778, 0.00, 0.00, 0.00",16,float4
cb0_v2,"0.00, 4.69533, 0.00, -0.27591",32,float4
cb0_v3,"0.00, 0.00, 10.00, 0.00",48,float4
cb0_v4,"0.00, 1.34778, 0.00, 0.96118",64,float4
cb0_v5,"2.74778, 0.00, 0.00, 0.00",80,float4
cb0_v6,"0.00, 4.69533, 0.00, -0.27591",96,float4
cb0_v7,"-4653.66553, 5827.5542, 10.00, 6320.32373",112,float4
cb0_v8,"0.00, 0.36393, 0.00, 0.00",128,float4
cb0_v9,"0.05648, 0.00, 0.19677, 0.00",144,float4
cb0_v10,"-640.41449, 169.3611, 59.715, 0.10",160,float4
cb0_v11,"0.96118, 0.00, -0.27591, 0.00",176,float4
cb0_v12,"0.00, 0.2759, 0.96118, 0.00",192,float4
cb0_v13,"1.00, 0.00, 0.00, 0.00",208,float4
cb0_v14,"0.00, 0.96118, -0.27591, 0.00",224,float4
cb0_v15,"0.00, 0.00, 0.00, 1.00",240,float4
cb0_v16,"0.00, 1.00, 0.00, 0.00",256,float4
cb0_v17,"0.2759, 0.00, 0.96118, 0.00",272,float4
cb0_v18,"0.96118, 0.00, -0.27591, 0.00",288,float4
cb0_v19,"0.00, 0.00, 0.00, 1.00",304,float4
cb0_v20,"0.00, 0.2759, 0.96118, 0.00",320,float4
cb0_v21,"1.00, 0.00, 0.00, 0.00",336,float4
cb0_v22,"0.00, 0.96118, -0.27591, 0.00",352,float4
cb0_v23,"0.00, 0.00, 0.00, 1.00",368,float4
cb0_v24,"0.00, 1.00, 0.00, 0.00",384,float4
cb0_v25,"0.2759, 0.00, 0.96118, 0.00",400,float4
cb0_v26,"0.96118, 0.00, -0.27591, 0.00",416,float4
cb0_v27,"0.00, 0.00, 0.00, 1.00",432,float4
cb0_v28,"2.74778, 0.00, 0.00, 0.00",448,float4
cb0_v29,"0.00, 4.88494, 0.00, 0.00",464,float4
cb0_v30,"0.00, 0.00, 0.00, 1.00",480,float4
cb0_v31,"0.00, 0.00, 10.00, 0.00",496,float4
cb0_v32,"2.74778, 0.00, 0.00, 0.00",512,float4
cb0_v33,"0.00, 4.88494, 0.00, 0.00",528,float4
cb0_v34,"0.00, 0.00, 0.00, 1.00",544,float4
cb0_v35,"0.00, 0.00, 10.00, 0.00",560,float4
cb0_v36,"0.36393, 0.00, 0.00, 0.00",576,float4
cb0_v37,"0.00, 0.20471, 0.00, 0.00",592,float4
cb0_v38,"0.00, 0.00, 0.00, 0.10",608,float4
cb0_v39,"0.00, 0.00, 1.00, 0.00",624,float4
cb0_v40,"0.00, 0.36393, 0.00, 0.00",640,float4
cb0_v41,"0.05648, 0.00, 0.19677, 0.00",656,float4
cb0_v42,"0.00, 0.00, 0.00, 0.10",672,float4
cb0_v43,"0.96118, 0.00, -0.27591, 0.00",688,float4
cb0_v44,"0.00, 0.00057, 0.00, 0.00",704,float4
cb0_v45,"-0.00016, 0.00, -0.00055, 0.00",720,float4
cb0_v46,"0.00, 0.00, 0.00, 0.10",736,float4
cb0_v47,"1.01767, -0.36393, -0.07914, 0.00",752,float4
cb0_v48,"0.00, 0.36393, 0.00, 0.00",768,float4
cb0_v49,"0.05648, 0.00, 0.19677, 0.00",784,float4
cb0_v50,"0.96118, 0.00, -0.27591, 0.00",800,float4
cb0_v51,"-6404.14502, 1693.61096, 597.15002, 1.00",816,float4
cb0_v52,"0.00, 0.36393, 0.00, 0.00",832,float4
cb0_v53,"0.05648, 0.00, 0.19677, 0.00",848,float4
cb0_v54,"0.96118, 0.00, -0.27591, 0.00",864,float4
cb0_v55,"0.00, 0.00, 0.00, 1.00",880,float4
cb0_v56,"0.00, 0.36393, 0.00, 0.00",896,float4
cb0_v57,"0.05648, 0.00, 0.19677, 0.00",912,float4
cb0_v58,"0.96118, 0.00, -0.27591, 0.00",928,float4
cb0_v59,"-6404.14453, 1693.61096, 597.15002, 1.00",944,float4
cb0_v60,"0.96118, 0.00, -0.27591, 0.00",960,float4
cb0_v61,"0.2759, 0.00, 0.96118, 0.00",976,float4
cb0_v62,"0.00, 1.00, 0.00, 0.00",992,float4
cb0_v63,"0.2759, 0.00, 0.96118, 0.00",1008,float4
cb0_v64,"0.00, 1.00, 0.00, 0.00",1024,float4
cb0_v65,"0.00, 0.00, 0.10, -1.00000E-08",1040,float4
