Element, r.pixels[0].x, r.pixels[0].y, r.pixels[0].z, r.pixels[0].w, r.pixels[1].x, r.pixels[1].y, r.pixels[1].z, r.pixels[1].w, r.pixels[2].x, r.pixels[2].y, r.pixels[2].z, r.pixels[2].w, r.pixels[3].x, r.pixels[3].y, r.pixels[3].z, r.pixels[3].w, r.pixels[4].x, r.pixels[4].y, r.pixels[4].z, r.pixels[4].w, r.pixels[5].x, r.pixels[5].y, r.pixels[5].z, r.pixels[5].w, r.pixels[6].x, r.pixels[6].y, r.pixels[6].z, r.pixels[6].w, r.pixels[7].x, r.pixels[7].y, r.pixels[7].z, r.pixels[7].w, r.pixels[8].x, r.pixels[8].y, r.pixels[8].z, r.pixels[8].w, r.pixels[9].x, r.pixels[9].y, r.pixels[9].z, r.pixels[9].w, r.pixels[10].x, r.pixels[10].y, r.pixels[10].z, r.pixels[10].w, r.pixels[11].x, r.pixels[11].y, r.pixels[11].z, r.pixels[11].w, r.pixels[12].x, r.pixels[12].y, r.pixels[12].z, r.pixels[12].w, r.pixels[13].x, r.pixels[13].y, r.pixels[13].z, r.pixels[13].w, r.pixels[14].x, r.pixels[14].y, r.pixels[14].z, r.pixels[14].w, r.pixels[15].x, r.pixels[15].y, r.pixels[15].z, r.pixels[15].w, r.pixels[16].x, r.pixels[16].y, r.pixels[16].z, r.pixels[16].w, r.pixels[17].x, r.pixels[17].y, r.pixels[17].z, r.pixels[17].w, r.pixels[18].x, r.pixels[18].y, r.pixels[18].z, r.pixels[18].w, r.pixels[19].x, r.pixels[19].y, r.pixels[19].z, r.pixels[19].w, r.pixels[20].x, r.pixels[20].y, r.pixels[20].z, r.pixels[20].w, r.pixels[21].x, r.pixels[21].y, r.pixels[21].z, r.pixels[21].w, r.pixels[22].x, r.pixels[22].y, r.pixels[22].z, r.pixels[22].w, r.pixels[23].x, r.pixels[23].y, r.pixels[23].z, r.pixels[23].w, r.pixels[24].x, r.pixels[24].y, r.pixels[24].z, r.pixels[24].w, r.pixels[25].x, r.pixels[25].y, r.pixels[25].z, r.pixels[25].w, r.pixels[26].x, r.pixels[26].y, r.pixels[26].z, r.pixels[26].w, r.pixels[27].x, r.pixels[27].y, r.pixels[27].z, r.pixels[27].w, r.pixels[28].x, r.pixels[28].y, r.pixels[28].z, r.pixels[28].w, r.pixels[29].x, r.pixels[29].y, r.pixels[29].z, r.pixels[29].w, r.pixels[30].x, r.pixels[30].y, r.pixels[30].z, r.pixels[30].w, r.pixels[31].x, r.pixels[31].y, r.pixels[31].z, r.pixels[31].w
0,  0.00,  0.00,  0.00,  0.00,  0.00098,  0.00,  0.00,  0.00,  0.00391,  0.00,  0.00,  0.00,  0.01173,  0.00,  0.00,  0.00,  0.02542,  0.00,  0.00,  0.00,  0.04888,  0.00,  0.00,  0.00,  0.07625,  0.00,  0.00,  0.00,  0.10166,  0.00,  0.00,  0.00,  0.13196,  0.00,  0.00,  0.00,  0.16911,  0.00,  0.00098,  0.00,  0.21603,  0.00,  0.00098,  0.00,  0.2737,  0.00,  0.00196,  0.00,  0.34115,  0.00,  0.00293,  0.00,  0.41935,  0.00,  0.00391,  0.00,  0.51026,  0.00,  0.00489,  0.00,  0.6129,  0.00,  0.00587,  0.00,  0.72141,  0.00,  0.0088,  0.00,  0.826,  0.00,  0.01857,  0.00,  0.913,  0.00,  0.0391,  0.00,  0.98436,  0.00,  0.06452,  0.00,  1.00,  0.00,  0.08993,  0.00,  1.00,  0.00,  0.1085,  0.00,  1.00,  0.00,  0.11144,  0.00,  1.00,  0.00,  0.09482,  0.00,  1.00,  0.00,  0.13881,  0.00,  1.00,  0.24242,  0.1955,  0.00,  1.00,  0.38514,  0.26002,  0.00,  1.00,  0.50831,  0.33627,  0.00,  1.00,  0.61584,  0.42326,  0.00,  1.00,  0.70088,  0.51711,  0.00,  1.00,  0.7654,  0.60997,  0.00,  1.00,  0.81427,  0.68915,  0.00
1,  0.00,  0.00098,  0.00,  0.00,  0.00,  0.00098,  0.00,  0.00,  0.00293,  0.00098,  0.00,  0.00,  0.00978,  0.00,  0.00,  0.00,  0.02346,  0.00,  0.00,  0.00,  0.0479,  0.00,  0.00,  0.00,  0.07722,  0.00,  0.00,  0.00,  0.10264,  0.00,  0.00,  0.00,  0.13196,  0.00,  0.00098,  0.00,  0.17009,  0.00,  0.00098,  0.00,  0.21701,  0.00,  0.00196,  0.00,  0.27468,  0.00,  0.00196,  0.00,  0.34115,  0.00,  0.00293,  0.00,  0.41935,  0.00,  0.00489,  0.00,  0.51026,  0.00,  0.00587,  0.00,  0.6129,  0.00,  0.00587,  0.00,  0.72141,  0.00,  0.0088,  0.00,  0.826,  0.00,  0.01955,  0.00,  0.913,  0.00,  0.0391,  0.00,  0.98436,  0.00,  0.06549,  0.00,  1.00,  0.00,  0.08993,  0.00,  1.00,  0.00,  0.1085,  0.00,  1.00,  0.00,  0.11144,  0.00,  1.00,  0.00,  0.09482,  0.00,  1.00,  0.00,  0.13881,  0.00,  1.00,  0.24242,  0.1955,  0.00,  1.00,  0.38514,  0.26002,  0.00,  1.00,  0.50831,  0.33627,  0.00,  1.00,  0.61584,  0.42326,  0.00,  1.00,  0.70088,  0.51711,  0.00,  1.00,  0.7654,  0.60997,  0.00,  1.00,  0.81427,  0.68915,  0.00
2,  0.00,  0.00391,  0.00,  0.00,  0.00,  0.00391,  0.00,  0.00,  0.00196,  0.00391,  0.00,  0.00,  0.00684,  0.00391,  0.00,  0.00,  0.0176,  0.00293,  0.00,  0.00,  0.04301,  0.00098,  0.00,  0.00,  0.07331,  0.00,  0.00,  0.00,  0.10068,  0.00,  0.00,  0.00,  0.13294,  0.00,  0.00098,  0.00,  0.17107,  0.00,  0.00098,  0.00,  0.21799,  0.00,  0.00196,  0.00,  0.27566,  0.00,  0.00293,  0.00,  0.34213,  0.00,  0.00391,  0.00,  0.42033,  0.00,  0.00489,  0.00,  0.51124,  0.00,  0.00587,  0.00,  0.61388,  0.00,  0.00684,  0.00,  0.72239,  0.00,  0.00978,  0.00,  0.826,  0.00,  0.02053,  0.00,  0.91398,  0.00,  0.04008,  0.00,  0.98436,  0.00,  0.06549,  0.00,  1.00,  0.00,  0.09091,  0.00,  1.00,  0.00,  0.1085,  0.00,  1.00,  0.00,  0.11144,  0.00,  1.00,  0.00,  0.09482,  0.00,  1.00,  0.00,  0.13881,  0.00,  1.00,  0.24242,  0.1955,  0.00,  1.00,  0.38514,  0.26002,  0.00,  1.00,  0.50831,  0.33627,  0.00,  1.00,  0.61584,  0.42326,  0.00,  1.00,  0.70088,  0.51711,  0.00,  1.00,  0.7654,  0.60997,  0.00,  1.00,  0.81427,  0.68915,  0.00
3,  0.00,  0.01075,  0.00,  0.00,  0.00,  0.01075,  0.00,  0.00,  0.00,  0.01075,  0.00,  0.00,  0.00587,  0.00978,  0.00,  0.00,  0.01466,  0.00978,  0.00,  0.00,  0.03519,  0.0088,  0.00,  0.00,  0.06647,  0.00587,  0.00,  0.00,  0.09775,  0.00196,  0.00098,  0.00,  0.13196,  0.00,  0.00098,  0.00,  0.17204,  0.00,  0.00098,  0.00,  0.21896,  0.00,  0.00196,  0.00,  0.27664,  0.00,  0.00293,  0.00,  0.34311,  0.00,  0.00391,  0.00,  0.42131,  0.00,  0.00489,  0.00,  0.51222,  0.00,  0.00587,  0.00,  0.61388,  0.00,  0.00684,  0.00,  0.72239,  0.00,  0.00978,  0.00,  0.82698,  0.00,  0.02151,  0.00,  0.91398,  0.00,  0.04106,  0.00,  0.98436,  0.00,  0.06647,  0.00,  1.00,  0.00,  0.09091,  0.00,  1.00,  0.00,  0.1085,  0.00,  1.00,  0.00,  0.11144,  0.00,  1.00,  0.00,  0.09482,  0.00,  1.00,  0.00,  0.13881,  0.00,  1.00,  0.24242,  0.1955,  0.00,  1.00,  0.38514,  0.26002,  0.00,  1.00,  0.50831,  0.33627,  0.00,  1.00,  0.61584,  0.42326,  0.00,  1.00,  0.70088,  0.51711,  0.00,  1.00,  0.7654,  0.60997,  0.00,  1.00,  0.81427,  0.68915,  0.00
4,  0.00,  0.02346,  0.00,  0.00,  0.00,  0.02346,  0.00,  0.00,  0.00,  0.02346,  0.00,  0.00,  0.00293,  0.02248,  0.00,  0.00,  0.01369,  0.02248,  0.00,  0.00,  0.03128,  0.02151,  0.00,  0.00,  0.05963,  0.01857,  0.00,  0.00,  0.09384,  0.01564,  0.00,  0.00,  0.13099,  0.00978,  0.00098,  0.00,  0.17302,  0.00196,  0.00098,  0.00,  0.22092,  0.00,  0.00196,  0.00,  0.27859,  0.00,  0.00293,  0.00,  0.34506,  0.00,  0.00391,  0.00,  0.42326,  0.00,  0.00489,  0.00,  0.5132,  0.00,  0.00587,  0.00,  0.61584,  0.00,  0.00684,  0.00,  0.72336,  0.00,  0.01075,  0.00,  0.82698,  0.00,  0.02151,  0.00,  0.91398,  0.00,  0.04203,  0.00,  0.98534,  0.00,  0.06745,  0.00,  1.00,  0.00,  0.09189,  0.00,  1.00,  0.00,  0.10948,  0.00,  1.00,  0.00,  0.11144,  0.00,  1.00,  0.00,  0.09482,  0.00,  1.00,  0.00,  0.13881,  0.00,  1.00,  0.24242,  0.1955,  0.00,  1.00,  0.38514,  0.26002,  0.00,  1.00,  0.50831,  0.33627,  0.00,  1.00,  0.61584,  0.42326,  0.00,  1.00,  0.70088,  0.51711,  0.00,  1.00,  0.7654,  0.60997,  0.00,  1.00,  0.81427,  0.68915,  0.00
5,  0.00,  0.04497,  0.00,  0.00,  0.00,  0.04497,  0.00,  0.00,  0.00,  0.04497,  0.00,  0.00,  0.00,  0.04497,  0.00,  0.00,  0.0088,  0.04399,  0.00,  0.00,  0.02737,  0.04301,  0.00,  0.00,  0.0567,  0.04106,  0.00,  0.00,  0.09091,  0.03715,  0.00,  0.00,  0.13001,  0.03128,  0.00098,  0.00,  0.174,  0.02248,  0.00098,  0.00,  0.22287,  0.00978,  0.00196,  0.00,  0.28152,  0.00,  0.00293,  0.00,  0.34702,  0.00,  0.00391,  0.00,  0.42522,  0.00,  0.00489,  0.00,  0.51515,  0.00,  0.00587,  0.00,  0.61681,  0.00,  0.00684,  0.00,  0.72434,  0.00,  0.01173,  0.00,  0.82796,  0.00,  0.02248,  0.00,  0.91496,  0.00,  0.04399,  0.00,  0.98534,  0.00,  0.06843,  0.00,  1.00,  0.00,  0.09286,  0.00,  1.00,  0.00,  0.10948,  0.00,  1.00,  0.00,  0.11144,  0.00,  1.00,  0.00,  0.09482,  0.00,  1.00,  0.00,  0.13881,  0.00,  1.00,  0.24242,  0.1955,  0.00,  1.00,  0.38514,  0.26002,  0.00,  1.00,  0.50831,  0.33627,  0.00,  1.00,  0.61584,  0.42326,  0.00,  1.00,  0.70088,  0.51711,  0.00,  1.00,  0.7654,  0.60997,  0.00,  1.00,  0.81427,  0.68915,  0.00
6,  0.00,  0.07331,  0.00,  0.00,  0.00,  0.07331,  0.00,  0.00,  0.00,  0.07331,  0.00,  0.00,  0.00,  0.07234,  0.00,  0.00,  0.00,  0.07234,  0.00,  0.00,  0.02053,  0.07136,  0.00,  0.00,  0.05279,  0.07038,  0.00,  0.00,  0.08895,  0.06745,  0.00,  0.00,  0.12903,  0.06354,  0.00,  0.00,  0.17498,  0.0567,  0.00098,  0.00,  0.22678,  0.04497,  0.00196,  0.00,  0.28543,  0.02346,  0.00293,  0.00,  0.35093,  0.00,  0.00391,  0.00,  0.42815,  0.00,  0.00489,  0.00,  0.51808,  0.00,  0.00587,  0.00,  0.61877,  0.00,  0.00684,  0.00,  0.7263,  0.00,  0.01173,  0.00,  0.82893,  0.00,  0.02346,  0.00,  0.91496,  0.00,  0.04497,  0.00,  0.98534,  0.00,  0.07038,  0.00,  1.00,  0.00,  0.09384,  0.00,  1.00,  0.00,  0.11046,  0.00,  1.00,  0.00,  0.11241,  0.00,  1.00,  0.00,  0.09482,  0.00,  1.00,  0.00,  0.13881,  0.00,  1.00,  0.24242,  0.1955,  0.00,  1.00,  0.38514,  0.26002,  0.00,  1.00,  0.50831,  0.33627,  0.00,  1.00,  0.61584,  0.42326,  0.00,  1.00,  0.70088,  0.51711,  0.00,  1.00,  0.7654,  0.60997,  0.00,  1.00,  0.81427,  0.68915,  0.00
7,  0.00,  0.10753,  0.00,  0.00,  0.00,  0.10655,  0.00,  0.00,  0.00,  0.10655,  0.00,  0.00,  0.00,  0.10655,  0.00,  0.00,  0.00,  0.10557,  0.00,  0.00,  0.00587,  0.10557,  0.00,  0.00,  0.04301,  0.10362,  0.00,  0.00,  0.08504,  0.10166,  0.00,  0.00,  0.12805,  0.09873,  0.00,  0.00,  0.17693,  0.09384,  0.00,  0.00,  0.23069,  0.08504,  0.00,  0.00,  0.29032,  0.07038,  0.00196,  0.00,  0.35582,  0.04301,  0.00293,  0.00,  0.43304,  0.00,  0.00391,  0.00,  0.52199,  0.00,  0.00489,  0.00,  0.6217,  0.00,  0.00587,  0.00,  0.72825,  0.00,  0.01173,  0.00,  0.82991,  0.00,  0.02444,  0.00,  0.91496,  0.00,  0.04692,  0.00,  0.98631,  0.00,  0.07234,  0.00,  1.00,  0.00,  0.0958,  0.00,  1.00,  0.00,  0.11144,  0.00,  1.00,  0.00,  0.11241,  0.00,  1.00,  0.00,  0.09482,  0.00,  1.00,  0.00,  0.13881,  0.00,  1.00,  0.24242,  0.1955,  0.00,  1.00,  0.38514,  0.26002,  0.00,  1.00,  0.50831,  0.33627,  0.00,  1.00,  0.61584,  0.42326,  0.00,  1.00,  0.70088,  0.51711,  0.00,  1.00,  0.7654,  0.60997,  0.00,  1.00,  0.81427,  0.68915,  0.00
8,  0.00,  0.14663,  0.00,  0.00,  0.00,  0.14663,  0.00,  0.00,  0.00,  0.14663,  0.00,  0.00,  0.00,  0.14663,  0.00,  0.00,  0.00,  0.14565,  0.00,  0.00,  0.00,  0.14467,  0.00,  0.00,  0.02248,  0.1437,  0.00,  0.00,  0.07527,  0.14272,  0.00,  0.00,  0.12512,  0.13978,  0.00,  0.00,  0.17693,  0.1349,  0.00,  0.00,  0.23558,  0.12805,  0.00,  0.00,  0.29619,  0.11632,  0.00,  0.00,  0.36266,  0.09775,  0.00,  0.00,  0.43891,  0.06647,  0.00098,  0.00,  0.52688,  0.00,  0.00196,  0.00,  0.62561,  0.00,  0.00391,  0.00,  0.73021,  0.00,  0.01173,  0.00,  0.83089,  0.00,  0.02444,  0.00,  0.91593,  0.00,  0.04692,  0.00,  0.98534,  0.00,  0.07331,  0.00,  1.00,  0.00,  0.09775,  0.00,  1.00,  0.00,  0.11241,  0.00,  1.00,  0.00,  0.11241,  0.00,  1.00,  0.00,  0.09482,  0.00,  1.00,  0.00,  0.13881,  0.00,  1.00,  0.24242,  0.1955,  0.00,  1.00,  0.38514,  0.26002,  0.00,  1.00,  0.50831,  0.33627,  0.00,  1.00,  0.61584,  0.42326,  0.00,  1.00,  0.70088,  0.51711,  0.00,  1.00,  0.7654,  0.60997,  0.00,  1.00,  0.81427,  0.68915,  0.00
9,  0.00,  0.19355,  0.00,  0.00,  0.00,  0.19355,  0.00,  0.00,  0.00,  0.19355,  0.00,  0.00,  0.00,  0.19257,  0.00,  0.00,  0.00,  0.19257,  0.00,  0.00,  0.00,  0.19159,  0.00,  0.00,  0.00,  0.19062,  0.00,  0.00,  0.05572,  0.18866,  0.00,  0.00,  0.11632,  0.18671,  0.00,  0.00,  0.174,  0.1828,  0.00,  0.00,  0.23558,  0.17595,  0.00,  0.00,  0.30108,  0.1652,  0.00,  0.00,  0.37146,  0.15054,  0.00,  0.00,  0.4477,  0.12903,  0.00,  0.00,  0.5347,  0.0958,  0.00,  0.00,  0.63148,  0.02835,  0.00098,  0.00,  0.73412,  0.00,  0.00978,  0.00,  0.83187,  0.00,  0.02346,  0.00,  0.91593,  0.00,  0.04692,  0.00,  0.98534,  0.00,  0.07429,  0.00,  1.00,  0.00,  0.09971,  0.00,  1.00,  0.00,  0.11437,  0.00,  1.00,  0.00,  0.11241,  0.00,  1.00,  0.00,  0.09384,  0.00,  1.00,  0.00,  0.13881,  0.00,  1.00,  0.24242,  0.1955,  0.00,  1.00,  0.38514,  0.26002,  0.00,  1.00,  0.50831,  0.33627,  0.00,  1.00,  0.61584,  0.42326,  0.00,  1.00,  0.70088,  0.51711,  0.00,  1.00,  0.7654,  0.60997,  0.00,  1.00,  0.81427,  0.68915,  0.00
